date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-11-24,sz.399001,13958.0126,13962.3404,13848.9087,13902.5372,13955.2848,35527402650,470795355829.3300,-0.377976
2020-11-25,sz.399001,13923.6590,13933.7860,13656.0949,13656.0949,13902.5372,36860357914,479922611618.0900,-1.772643
2020-11-26,sz.399001,13651.4321,13692.7342,13452.6760,13599.9939,13656.0949,31772149174,415975881297.5500,-0.410813
2020-11-27,sz.399001,13627.8557,13690.8834,13542.6765,13690.8834,13599.9939,31000552919,399658671634.2500,0.668305
2020-11-30,sz.399001,13720.6808,13815.4887,13634.1568,13670.1106,13690.8834,37165448293,496207435156.9700,-0.151727
2020-12-01,sz.399001,13650.3888,13940.8990,13646.6879,13930.3746,13670.1106,37014513864,479714599945.7300,1.903891
2020-12-02,sz.399001,13950.7382,13991.4499,13858.4451,13961.5754,13930.3746,38803244919,497650122913.1100,0.223977
2020-12-03,sz.399001,13955.9785,14009.5111,13889.6194,13970.6840,13961.5754,37436378765,473941113981.4600,0.065240
2020-12-04,sz.399001,13933.8767,14049.2121,13903.8362,14026.6567,13970.6840,31886919287,419358435756.3400,0.400644
2020-12-07,sz.399001,14021.1614,14054.8751,13958.7399,13973.4819,14026.6567,31795780793,432150542737.6100,-0.379098
