date,code,open,high,low,close,preclose,volume,amount,pctChg,label
2021-06-01,sh.000001,3608.5978,3626.0737,3581.9115,3624.7138,3615.4773,35281141300,471663104796.7,0.255471,0
2021-06-02,sh.000001,3626.3283,3629.2896,3584.5955,3597.1379,3624.7138,34855842000,454678066375.6,-0.760775,0
2021-06-03,sh.000001,3595.4215,3618.5067,3584.2054,3584.2121,3597.1379,35423303100,443506527329.2,-0.359336,1
2021-06-04,sh.000001,3565.4716,3618.8001,3561.8907,3591.8447,3584.2121,33089303800,435280519932.9,0.21295100000000003,1
2021-06-07,sh.000001,3597.1413,3600.3759,3581.8988,3599.541,3591.8447,30371867700,432219952222.2,0.214272,0
2021-06-08,sh.000001,3598.7527,3621.5227,3563.2503,3580.1063,3599.541,30449147000,443161808007.8,-0.539922,1
2021-06-09,sh.000001,3576.8015,3598.7082,3572.6364,3591.3965,3580.1063,29832329600,403236322753.9,0.315359,1
2021-06-10,sh.000001,3587.5282,3624.3433,3584.1332,3610.859,3591.3965,31817480800,442117285383.9,0.54192,0
2021-06-11,sh.000001,3614.1134,3614.4038,3587.1491,3589.7481,3610.859,36055497000,495372693064.5,-0.58465,0
2021-06-15,sh.000001,3587.4658,3592.9465,3547.187,3556.559,3589.7481,34916856600,444719204218.3,-0.924552,0
2021-06-16,sh.000001,3556.7139,3561.0921,3513.5592,3518.3292,3556.559,31259730600,410609314681.0,-1.07491,1
2021-06-17,sh.000001,3508.317,3534.1976,3507.3535,3525.6042,3518.3292,27722991800,388761041679.4,0.20677399999999999,0
2021-06-18,sh.000001,3520.4966,3535.6221,3503.1833,3525.0968,3525.6042,29670858500,446297401403.1,-0.014391999999999999,1
2021-06-21,sh.000001,3515.5006,3540.2959,3504.0075,3529.1826,3525.0968,28089827700,426562789148.1,0.115906,1
2021-06-22,sh.000001,3539.7876,3560.1946,3536.812,3557.412,3529.1826,30753639900,437092259173.4,0.7998850000000001,1
2021-06-23,sh.000001,3559.3988,3577.4661,3549.8482,3566.2199,3557.412,31070951800,470347635637.0,0.24759299999999998,0
2021-06-24,sh.000001,3568.5758,3570.4874,3548.8161,3566.6539,3566.2199,33544075400,461273595569.7,0.01217,1
2021-06-25,sh.000001,3567.3772,3614.2981,3564.5199,3607.5618,3566.6539,34608783200,483898970868.6,1.146955,0
2021-06-28,sh.000001,3612.2469,3614.3574,3594.2174,3606.3722,3607.5618,32127497400,456029594401.3,-0.032975,0
